序号,交易日期,客户ID,交易金额,交易次数,成员类型,省份
144,2017/3/1,1702-2318,150505.67,110,线下成员,西藏
145,2017/3/1,1702-2322,110102.81,89,线上成员,内蒙
146,2017/3/1,1702-2350,608.63,9,自助成员,西藏
147,2017/3/1,1702-2354,116299.97,89,自助成员,广州
148,2017/3/1,1702-407,66142.32,65,线下成员,上海
149,2017/3/1,1702-414,110118.06,85,自助成员,宁夏
150,2017/3/1,170205-213,112.41,2,线上成员,内蒙
151,2017/3/1,170207-215,6103.27,40,线上成员,宁夏
152,2017/3/1,1704-2178,27,2,线上成员,广西
153,2017/3/1,1710-34,323.6,3,线上成员,青海
154,2017/3/1,1801-186,2071.25,25,线上成员,广州
155,2017/3/1,1801-2070,2846.55,7,线下成员,内蒙
156,2017/3/1,1801-2077,3085.47,7,自助成员,西藏
157,2017/3/1,1801-2097,160839,161,自助成员,青海
158,2017/3/1,1801-43,545,2,线上成员,宁夏
159,2017/3/1,1807-2122,91908,92,线上成员,甘肃
160,2017/3/1,1902-137,6995.21,38,线上成员,西藏
161,2017/3/1,1902-18,2058.02,3,线上成员,甘肃
162,2017/3/1,1902-2400,288.27,4,线上成员,内蒙
163,2017/3/1,1905-2439,310,2,自助成员,广西
164,2017/3/1,1905-2444,674,2,线上成员,广西
165,2017/3/1,1905-2453,2948.72,2,自助成员,上海
166,2017/3/1,1905-2461,1480,4,线下成员,上海
167,2017/3/1,1905-2462,620,2,自助成员,上海
168,2017/3/1,1905-2467,1150,7,自助成员,宁夏
169,2017/3/1,190502-2459,310,1,自助成员,广州
170,2017/3/1,190505-2456,1621,3,自助成员,广西
171,2017/3/1,190506-2455,3422.49,9,线下成员,甘肃
172,2017/3/1,2001-231,1475.93,10,线下成员,青海
173,2017/3/1,2101-1858,3650.45,43,线上成员,西藏
174,2017/3/1,2101-1878,1048.25,17,线下成员,广州
175,2017/3/1,2101-48,2175.9,5,自助成员,上海
176,2017/3/1,2102-167,7360.73,37,线下成员,宁夏
177,2017/3/1,2102-17,2186.47,8,自助成员,内蒙
178,2017/3/1,2102-19,100,1,线上成员,广西
179,2017/3/1,2102-3295,137,1,线下成员,江苏
180,2017/3/1,2102-3318,40,1,线下成员,甘肃
181,2017/3/1,2102-3319,2784.05,10,线下成员,宁夏
182,2017/3/1,2103-1910,1081.23,5,线下成员,青海
183,2017/3/1,2103-1943,3259.05,35,线上成员,上海
184,2017/3/1,2103-3284,4269.88,36,线上成员,内蒙
185,2017/3/1,2106-1962,800,3,线上成员,青海
186,2017/3/1,2106-1986,1600,1,线下成员,上海
187,2017/3/1,2106-3164,36600,10,自助成员,上海
188,2017/3/1,2106-3195,2016.41,13,自助成员,宁夏
189,2017/3/1,2107-3299,49414,51,线上成员,上海
190,2017/3/1,2107-3308,49238,50,自助成员,内蒙
191,2017/3/1,2107-75,2064.73,15,线下成员,江苏
192,2017/3/1,210711-23,5626.27,6,自助成员,青海
193,2017/3/1,2111-224,1151.91,4,线上成员,江苏
194,2017/3/1,2113-1997,2589.18,15,线下成员,内蒙
195,2017/3/1,2113-2031,9212.31,90,线上成员,宁夏
196,2017/3/1,2113-44,15000,1,自助成员,上海
197,2017/3/1,2114-171,378.35,6,线下成员,广西
198,2017/3/1,2116-3274,947.77,5,线上成员,内蒙
199,2017/3/1,2201-123,5308.15,27,线下成员,宁夏
200,2017/3/1,2201-1614,4437.67,48,自助成员,广西
201,2017/3/1,2201-1616,1511.3,6,线下成员,江苏
202,2017/3/1,2201-1618,6007.34,52,线上成员,内蒙
203,2017/3/1,2201-961,6331.59,94,自助成员,甘肃
204,2017/3/1,220105-107,600,1,线下成员,广西
205,2017/3/1,220108-100,1519.79,12,线上成员,江苏
206,2017/3/1,2204-1624,545.63,4,线下成员,甘肃
207,2017/3/1,220604-1544,405,2,线下成员,青海
208,2017/3/1,2207-1603,4315.65,9,线下成员,江苏
209,2017/3/1,220711-1590,360,1,线下成员,西藏
210,2017/3/1,220807-263,118.9,1,线上成员,宁夏
211,2017/3/1,220808-1588,450.5,3,线下成员,广西
212,2017/3/1,220903-1549,842.34,2,线上成员,江苏
213,2017/3/1,2211-1632,1290.01,4,自助成员,上海
214,2017/3/1,2211-1633,90.9,2,线下成员,广西
215,2017/3/1,2216-104,6750.31,22,线下成员,甘肃
216,2017/3/1,2218-1554,3009.76,7,线上成员,青海
217,2017/3/1,2301-1049,5858.57,31,线上成员,西藏
218,2017/3/1,2301-1054,5370.42,23,自助成员,宁夏
219,2017/3/1,2301-119,2650.85,25,自助成员,广州
220,2017/3/1,2301-13,6217.06,9,自助成员,上海
221,2017/3/1,2301-2431,3438.79,16,线上成员,甘肃
222,2017/3/1,2301-2562,304,2,线下成员,甘肃
223,2017/3/1,2301-2585,0.28,1,自助成员,甘肃
224,2017/3/1,2301-2613,62.59,1,线下成员,江苏
225,2017/3/1,2301-2617,2515.54,11,线下成员,广州
226,2017/3/1,2301-854,1433.02,4,线上成员,江苏
227,2017/3/1,2301-94,1644.12,9,线上成员,广西
228,2017/3/1,2305-2544,3879.59,21,线下成员,青海
229,2017/3/1,2305-2559,54688.67,10,线下成员,广西
230,2017/3/1,2401-142,5157.32,64,线上成员,江苏
231,2017/3/1,2501-2808,2508.78,10,自助成员,内蒙
232,2017/3/1,2501-2964,623.44,2,线下成员,江苏
233,2017/3/1,2501-2968,1476.48,1,线下成员,西藏
234,2017/3/1,2501-33,724.85,6,自助成员,西藏
235,2017/3/1,2501-40,6141.15,18,自助成员,江苏
236,2017/3/1,2501-424,133951.65,141,线下成员,上海
237,2017/3/1,2501-452,1125.57,5,线下成员,甘肃
238,2017/3/1,2501-469,2325.02,26,自助成员,西藏
239,2017/3/1,2501-470,521.93,3,线下成员,青海
240,2017/3/1,219633,72815.4,71,线下成员,内蒙
241,2017/3/1,250103-496,285.05,2,线上成员,青海
242,2017/3/1,250107-36,37817.15,39,线上成员,内蒙
243,2017/3/1,250107-413,401.7,2,线上成员,内蒙
244,2017/3/1,2503-229,3758.72,12,线下成员,内蒙
245,2017/3/1,2503-230,1434.32,8,自助成员,内蒙
246,2017/3/1,2503-2792,438.2,1,线上成员,上海
247,2017/3/1,2503-2804,367700.9,405,线上成员,内蒙
248,2017/3/1,2503-2826,200.78,3,自助成员,广州
249,2017/3/1,2503-2870,1118.97,11,线上成员,青海
250,2017/3/1,250403-24,3465.06,3,线上成员,宁夏
251,2017/3/1,250602-2937,2048.37,81,线下成员,广州
252,2017/3/1,2507-2765,301,1,线上成员,宁夏
253,2017/3/1,2517-2874,1801.24,20,线上成员,江苏
254,2017/3/1,2517-2971,1133.91,4,线上成员,广西
255,2017/3/1,2601-162,93432.16,200,线上成员,西藏
256,2017/3/1,329086,11948.14,22,自助成员,江苏
257,2017/3/1,2801-1105,326.31,1,自助成员,广西
258,2017/3/1,2801-1108,511904,316,线下成员,广西
259,2017/3/1,2801-1116,500028.5,265,自助成员,广西
260,2017/3/1,2801-1121,1175.91,7,线上成员,甘肃
261,2017/3/1,2801-1147,652.47,11,线上成员,广西
262,2017/3/1,2801-1180,713.47,3,线下成员,广州
263,2017/3/1,2801-1198,5132.5,16,自助成员,广州
264,2017/3/1,2801-1201,235.79,1,线下成员,广西
265,2017/3/1,2801-2749,2328.03,11,自助成员,上海
266,2017/3/1,2801-2986,1422.58,6,线下成员,广西
267,2017/3/1,2801-2988,1117.57,7,线上成员,西藏
268,2017/3/1,2801-3001,2234,2,线上成员,西藏
269,2017/3/1,2801-3088,801.88,4,线上成员,广州
270,2017/3/1,2801-3092,1849.11,6,线下成员,内蒙
271,2017/3/1,2801-39,991.82,2,线下成员,上海
272,2017/3/1,2801-41,43.18,2,自助成员,西藏
273,2017/3/1,2801-56,1794.42,13,线下成员,上海
274,2017/3/1,2801-57,4081.33,22,线下成员,上海
275,2017/3/1,2801-61,2962.26,25,线下成员,江苏
276,2017/3/1,3001-3100,5086.94,54,线上成员,甘肃
277,2017/3/1,3201-1240,5,1,线下成员,宁夏
278,2017/3/1,320111-3235,1684.5,2,自助成员,上海
279,2017/3/1,3204-3221,29.06,1,线下成员,青海
280,2017/3/1,3207-3072,4175.95,13,自助成员,广西
281,2017/3/1,4201-135,580.81,13,线下成员,内蒙
282,2017/3/1,4201-1511,288,3,线下成员,甘肃
283,2017/3/1,4201-1515,3845.38,8,自助成员,江苏
284,2017/3/1,4201-1648,566.52,2,线上成员,宁夏
285,2017/3/1,4201-312,2314.24,5,线上成员,内蒙
286,2017/3/1,4201-3122,3409.51,18,线下成员,广州
287,2017/3/1,4201-3131,2638.1,4,自助成员,广州
288,2017/3/1,4201-315,251.14,2,线上成员,宁夏
289,2017/3/1,4201-325,2903.18,6,自助成员,江苏
290,2017/3/1,4201-332,2911.5,5,线上成员,广西
291,2017/3/1,4201-335,176.93,3,线下成员,内蒙
292,2017/3/1,4201-351,781.5,2,自助成员,江苏
293,2017/3/1,4201-365,8797.88,49,线下成员,青海
294,2017/3/1,4201-366,92630,70,线上成员,江苏
295,2017/3/1,4201-367,2221.4,23,自助成员,内蒙
296,2017/3/1,4201-371,546.39,1,线下成员,江苏
297,2017/3/1,4201-377,1270,1,自助成员,西藏
298,2017/3/1,4201-399,103070,78,线上成员,江苏
299,2017/3/1,4201-407,1679.75,4,自助成员,宁夏
300,2017/3/1,4301-50,3659.3,5,自助成员,广州
301,2017/3/1,4301-618,3063.84,11,线下成员,内蒙
302,2017/3/1,4301-676,19.15,2,线下成员,宁夏
303,2017/3/1,4401-45,30026.18,53,线下成员,广州
304,2017/3/1,4401-51,2872.52,12,线下成员,宁夏
305,2017/3/1,4401-57,333.86,16,线上成员,西藏
306,2017/3/1,4401-702,121256.31,100,线下成员,广州
307,2017/3/1,4401-745,828.06,10,线下成员,宁夏
308,2017/3/1,4401-746,99901.15,80,自助成员,广西
309,2017/3/1,4401-748,78545.09,61,线上成员,江苏
310,2017/3/1,4401-752,49308.2,36,线上成员,广西
311,2017/3/1,4401-754,77971.32,62,线上成员,内蒙
312,2017/3/1,4401-756,80112.1,65,线上成员,广西
313,2017/3/1,4401-757,104198.76,84,线下成员,广西
314,2017/3/1,4401-761,554.51,15,线下成员,西藏
315,2017/3/1,4401-772,100171.15,80,线下成员,江苏
316,2017/3/1,4401-785,83590.16,77,线上成员,西藏
317,2017/3/1,4501-17,464.45,2,线上成员,上海
318,2017/3/1,4501-53,1942.16,2,线下成员,西藏
319,2017/3/1,4501-85,0,1,线下成员,广州
320,2017/3/1,C010079,3594.45,4,线上成员,西藏
321,2017/3/1,C010200004,178405,132,线上成员,广州
322,2017/3/1,C010200007,10,10,自助成员,广州
323,2017/3/1,C010200015,4433,1,自助成员,宁夏
324,2017/3/1,C010200020,10,10,线下成员,上海
325,2017/3/1,C010210009,1073.04,10,自助成员,青海
326,2017/3/1,C010210027,906.15,3,线下成员,广西
327,2017/3/1,C010210032,984.39,3,自助成员,甘肃
328,2017/3/1,C010210035,539.55,4,线下成员,甘肃
329,2017/3/1,C010210040,1531.12,4,自助成员,宁夏
330,2017/3/1,C010210042,9183.9,19,线下成员,甘肃
331,2017/3/1,C010230036,2030.12,2,自助成员,广西
332,2017/3/1,C010230042,1114.11,1,线上成员,广州
333,2017/3/1,C010230044,840.84,1,自助成员,广州
334,2017/3/1,C010230052,2144.22,2,线上成员,上海
335,2017/3/1,C010240001,141.42,2,线下成员,广西
336,2017/3/1,C010240002,225185.41,120,线上成员,宁夏
337,2017/3/1,C010240003,502.2,2,线上成员,内蒙
338,2017/3/1,C010240011,90,1,线下成员,西藏
339,2017/3/1,C010240012,2015.15,7,线上成员,甘肃
340,2017/3/1,C010250003,6657.52,19,线上成员,甘肃
341,2017/3/1,C010250028,60.06,1,自助成员,上海
342,2017/3/1,C010250030,2171.92,10,线上成员,上海
343,2017/3/1,C010270010,2840,5,线下成员,内蒙
344,2017/3/1,C010270035,300,1,线上成员,宁夏
345,2017/3/1,C010280002,7400,2,线上成员,甘肃
346,2017/3/1,C010280003,25,1,线上成员,甘肃
347,2017/3/1,C010280004,766.75,2,自助成员,内蒙
348,2017/3/1,C010280008,11040,3,线下成员,上海
349,2017/3/1,C010280017,504504,315,线下成员,上海
350,2017/3/1,C010280018,7400,3,线上成员,西藏
351,2017/3/1,C010280020,620.63,2,线下成员,上海
352,2017/3/1,C010280024,11040,3,线下成员,青海
353,2017/3/1,C010290011,177.63,1,自助成员,内蒙
354,2017/3/1,C0103710001,13185,11,自助成员,江苏
355,2017/3/1,C0103740001,670,2,自助成员,内蒙
356,2017/3/1,C0103750001,108.7,1,自助成员,西藏
357,2017/3/1,C0107550001,649.69,4,自助成员,上海
358,2017/3/1,C0107550002,201.89,1,线上成员,西藏
359,2017/3/1,C0108160004,834.67,1,线上成员,广州
360,2017/3/1,C0108510001,3629.79,4,线上成员,西藏
361,2017/3/1,C0108570002,3746.15,4,线上成员,内蒙
362,2017/3/1,C013120002,1069,3,线下成员,江苏
363,2017/3/1,C013150002,280,2,线下成员,宁夏
364,2017/3/1,C013170001,654.4,1,线下成员,青海
365,2017/3/1,C013570001,575.24,5,自助成员,上海
366,2017/3/1,C013730001,16.2,1,自助成员,甘肃
367,2017/3/1,C013730008,760,1,自助成员,甘肃
368,2017/3/1,C013740003,130.19,1,自助成员,内蒙
369,2017/3/1,C014310002,545.15,1,线下成员,西藏
370,2017/3/1,C014310009,600,1,自助成员,宁夏
371,2017/3/1,C014370003,8316,12,自助成员,江苏
372,2017/3/1,C015100009,480.5,1,自助成员,宁夏
373,2017/3/1,C015100012,764.36,2,线下成员,广西
374,2017/3/1,C015100013,71184.68,23,自助成员,上海
375,2017/3/1,C015100021,30227.7,24,线上成员,青海
376,2017/3/1,C015100026,900,2,线下成员,江苏
377,2017/3/1,C015120017,69633.47,35,线下成员,广西
378,2017/3/1,C015150005,268941.88,140,线下成员,宁夏
379,2017/3/1,C015320001,278,2,自助成员,广西
380,2017/3/1,C015320003,490,1,线上成员,广西
381,2017/3/1,C015320037,376,1,自助成员,内蒙
382,2017/3/1,C015320039,100348,102,自助成员,广州
383,2017/3/1,C015320040,100158,103,线下成员,宁夏
384,2017/3/1,C015350020,5505,10,线上成员,甘肃
385,2017/3/1,C015350021,6170,10,线上成员,青海
386,2017/3/1,C015370004,3685.05,21,线上成员,江苏
387,2017/3/1,C015510001,4007.84,32,线下成员,广西
388,2017/3/1,C015510008,1347.5,1,线下成员,青海
389,2017/3/1,C015510013,103896,104,线下成员,西藏
390,2017/3/1,C015710010,867,1,线下成员,广西
391,2017/3/1,C015710012,2500,1,线上成员,青海
392,2017/3/1,C015710022,47,1,线下成员,内蒙
393,2017/3/1,C015730020,19.28,1,线上成员,内蒙
394,2017/3/1,C015740001,2273,2,线上成员,上海
395,2017/3/1,C015740008,1070,1,线上成员,广西
396,2017/3/1,C015950001,280,1,线下成员,上海
397,2017/3/1,C016320002,743.01,3,线下成员,青海
398,2017/3/1,C016320007,34.02,1,线下成员,西藏
399,2017/3/1,C017120003,172.31,1,线下成员,西藏
400,2017/3/1,C017130006,2339.77,5,线下成员,宁夏
401,2017/3/1,C017130008,167.43,1,线下成员,甘肃
402,2017/3/1,C017150002,446.04,1,自助成员,青海
403,2017/3/1,C017150007,659.66,4,自助成员,广州
404,2017/3/1,C017160005,134.5,1,自助成员,内蒙
405,2017/3/1,C017500002,10,10,线上成员,内蒙
406,2017/3/1,C017550012,460,1,线上成员,上海
407,2017/3/1,C017550019,46,1,线下成员,上海
408,2017/3/1,C017680002,10,10,自助成员,内蒙
409,2017/3/1,C017690005,570,1,线上成员,青海
410,2017/3/1,C017710018,29048.2,70,自助成员,甘肃
411,2017/3/1,C018130001,32640,4,线上成员,宁夏
412,2017/3/1,C018310001,388.86,3,线下成员,广西
413,2017/3/1,C018320001,11130,10,线下成员,甘肃
414,2017/3/1,C018510004,553.4,1,线下成员,青海
415,2017/3/1,C018510007,329601.32,220,线下成员,青海
416,2017/3/1,C035100007,45446.08,30,线上成员,江苏
417,2017/3/1,C050210007,70791,27,自助成员,广州
418,2017/3/1,C0503590001,1387.01,7,线上成员,内蒙
419,2017/3/1,C0503590002,438.19,1,自助成员,江苏
420,2017/3/1,C055740001,2629.4,2,线上成员,甘肃
421,2017/3/1,C055740003,2602.67,2,线下成员,上海
422,2017/3/1,C055740004,2581.67,2,线上成员,宁夏
423,2017/3/1,C057550001,303.24,1,线上成员,西藏
424,2017/3/1,C057570001,189.4,1,自助成员,广西
425,2017/3/1,C080100001,1688.54,22,线下成员,广州
426,2017/3/1,C080200031,10,10,线下成员,上海
427,2017/3/1,C080210010,5717.68,37,线下成员,青海
428,2017/3/1,C080210013,6836.6,37,线下成员,上海
429,2017/3/1,C080220002,1937.01,10,线上成员,江苏
430,2017/3/1,C080220011,292.43,3,自助成员,内蒙
431,2017/3/1,C080220021,172,1,线上成员,甘肃
432,2017/3/1,C080220022,4270.45,40,自助成员,江苏
433,2017/3/1,C080220023,5845.14,52,自助成员,甘肃
434,2017/3/1,C080230017,28.82,1,线上成员,广西
435,2017/3/1,C080240008,1397.57,19,线下成员,江苏
436,2017/3/1,C080270001,2596.94,8,线上成员,江苏
437,2017/3/1,C080270025,624.98,1,自助成员,江苏
438,2017/3/1,C080270041,493.2,1,线下成员,广州
439,2017/3/1,C080270048,3022.05,21,自助成员,广西
440,2017/3/1,C083110012,1134.23,2,自助成员,广西
441,2017/3/1,C083120007,3035.2,31,线上成员,广西
442,2017/3/1,C083170003,1387.83,14,线下成员,广州
443,2017/3/1,C083170008,1484.54,13,自助成员,西藏
444,2017/3/1,C083170012,5883.91,20,自助成员,广州
445,2017/3/1,C083180001,3781.61,5,自助成员,内蒙
446,2017/3/1,C083910001,880,6,线上成员,广州
447,2017/3/1,C084510001,3933.08,25,线下成员,宁夏
448,2017/3/1,C085100005,754,5,自助成员,宁夏
449,2017/3/1,C085100008,192.8,3,线上成员,青海
450,2017/3/1,C085120004,652.06,5,线下成员,广州
451,2017/3/1,C085120011,69.44,1,线下成员,内蒙
452,2017/3/1,C085130007,682.31,6,自助成员,宁夏
453,2017/3/1,C085190002,3155.33,17,线下成员,内蒙
454,2017/3/1,C085320008,10,1,线上成员,广州
455,2017/3/1,C085320040,2217.52,19,线上成员,青海
456,2017/3/1,C085330006,6499.9,36,线下成员,西藏
457,2017/3/1,C085330007,2917.52,27,线下成员,西藏
458,2017/3/1,C085350005,5200,10,线下成员,广州
459,2017/3/1,C085360001,1123.15,14,线上成员,广州
460,2017/3/1,C085370018,1826.86,22,线上成员,江苏
461,2017/3/1,C085390013,6674.94,85,自助成员,广州
462,2017/3/1,C085710012,790.95,11,自助成员,江苏
463,2017/3/1,C085710022,3236.52,17,自助成员,上海
464,2017/3/1,C085730004,82.6,4,自助成员,广西
465,2017/3/1,C085740012,2128.28,12,自助成员,广西
466,2017/3/1,C085740013,7214.13,54,自助成员,广西
467,2017/3/1,C085960001,116.05,1,线上成员,西藏
468,2017/3/1,C086320009,37,2,线上成员,广州
469,2017/3/1,C087170001,21.53,1,线上成员,江苏
470,2017/3/1,C087310004,456.55,2,线下成员,宁夏
471,2017/3/1,C087520001,1820.64,18,线下成员,西藏
472,2017/3/1,C087550001,366630,336,自助成员,江苏
473,2017/3/1,C087690008,561.63,3,线下成员,广州
474,2017/3/1,C088310001,1947.79,7,自助成员,江苏
475,2017/3/1,C088510020,3897,12,线上成员,甘肃
476,2017/3/1,C090200006,41,1,线下成员,广州
477,2017/3/1,C093150004,4281.78,18,自助成员,宁夏
478,2017/3/1,C093160003,457.07,2,自助成员,广西
479,2017/3/1,C095320001,558,1,线下成员,江苏
